Year,Country,Region,Income_Group,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Overall_Score
2015,PAK,South Asia,2,0.490756092,0.345628174,0.446433706,0.392813981,0.302279036,0.35955398,0.397931733,0.30859502,0.380498965
2015,PAN,Latin America & Caribbean,3,0.528878653,0.490903083,0.553144166,0.616876525,0.701719828,0.538494525,0.499295831,0.321737946,0.53138132
2015,PER,Latin America & Caribbean,3,0.598774312,0.34279387,0.552355101,0.602460638,0.625835602,0.495563899,0.426251299,0.339673642,0.497963545
2015,PHL,East Asia & Pacific,2,0.614792768,0.488971954,0.538822334,0.520209764,0.713508179,0.502130018,0.458858367,0.376282994,0.526697047
2015,POL,EU + EFTA + North America,4,0.771660873,0.654265849,0.672916637,0.767889729,0.848770329,0.598348964,0.654748606,0.738579403,0.713397549
2015,PRT,EU + EFTA + North America,4,0.791459799,0.711936041,0.641042321,0.798834829,0.757022931,0.568931836,0.653721993,0.669925469,0.699109402
2015,KOR,East Asia & Pacific,4,0.78880662,0.817792521,0.729701469,0.733301477,0.899771349,0.781427606,0.795061541,0.757016915,0.787859937
2015,ROU,EU + EFTA + North America,3,0.625047727,0.516258397,0.529120195,0.72549998,0.782723833,0.539516533,0.633267973,0.59615558,0.618448777
2015,RUS,Eastern Europe & Central Asia,4,0.391762123,0.435155603,0.487186766,0.473664035,0.666910189,0.463597651,0.501515415,0.360146023,0.472492226
2015,SEN,Sub-Saharan Africa,2,0.66030747,0.534345243,0.518118675,0.625824704,0.710204843,0.523883034,0.534768467,0.435623215,0.567884456
2015,SRB,Eastern Europe & Central Asia,3,0.502974813,0.413425467,0.506104597,0.578437576,0.754330415,0.427504973,0.469279653,0.384077585,0.504516885
2015,SLE,Sub-Saharan Africa,1,0.521111092,0.295863348,0.385408338,0.533958513,0.604840527,0.393285145,0.427852921,0.334882291,0.437150272
2015,SGP,East Asia & Pacific,4,0.759009953,0.929556601,0.627232424,0.717627866,0.910020798,0.864766267,0.843025168,0.820874041,0.80901414
2015,SVN,EU + EFTA + North America,4,0.618488894,0.595945901,0.603834928,0.773362897,0.817178194,0.599664145,0.641654582,0.630380283,0.660063728
2015,ZAF,Sub-Saharan Africa,3,0.61434677,0.50584844,0.616826302,0.631536594,0.621134839,0.554447091,0.562363815,0.501909831,0.57605171
2015,ESP,EU + EFTA + North America,4,0.693690486,0.687800435,0.620115938,0.775019746,0.804504283,0.621684736,0.641871349,0.61512636,0.682476667
2015,LKA,South Asia,2,0.466085644,0.464585484,0.52653396,0.487606737,0.693936702,0.49020728,0.471222403,0.452793949,0.50662152
2015,SWE,EU + EFTA + North America,4,0.875487772,0.905332613,0.813501259,0.898091833,0.902622425,0.823369085,0.810643281,0.775427107,0.850559422
2015,TZA,Sub-Saharan Africa,1,0.534165732,0.366353033,0.505682418,0.505655517,0.578874998,0.425085583,0.507409624,0.374454476,0.474710173
2015,THA,East Asia & Pacific,3,0.45904514,0.518166632,0.486624687,0.502344036,0.751568158,0.509588792,0.462312152,0.431924146,0.515196718
2015,TUN,Middle East & North Africa,3,0.623432157,0.50166154,0.509583965,0.542874241,0.753128852,0.517074224,0.52059583,0.492831381,0.557647774
2015,TUR,Eastern Europe & Central Asia,3,0.366482549,0.486274289,0.449819762,0.359103533,0.688074077,0.510592875,0.49463132,0.351364725,0.463292891
2015,UGA,Sub-Saharan Africa,1,0.394639792,0.266101031,0.410923903,0.386358957,0.60539546,0.389111005,0.47722918,0.339061822,0.408602644
2015,UKR,Eastern Europe & Central Asia,2,0.453837138,0.343935441,0.556209942,0.614044583,0.604814412,0.419863384,0.487582843,0.363962068,0.480531226
2015,ARE,Middle East & North Africa,4,0.576635783,0.824907595,0.482630606,0.49550663,0.908299378,0.683305536,0.627673332,0.768740436,0.670962412
2015,GBR,EU + EFTA + North America,4,0.795690039,0.816118772,0.742172856,0.791306672,0.860421181,0.768463743,0.741984585,0.763427254,0.784948138
2015,USA,EU + EFTA + North America,4,0.761539077,0.754657015,0.725986509,0.728420148,0.822166565,0.728110701,0.66747839,0.644967944,0.729165794
2015,URY,Latin America & Caribbean,4,0.761935364,0.78109957,0.649257957,0.790437837,0.716273208,0.730709824,0.712269121,0.539217703,0.710150073
2015,UZB,Eastern Europe & Central Asia,2,0.311011073,0.348891683,0.32175166,0.413837931,0.90902714,0.424243679,0.485006848,0.443876111,0.457205766
2015,VEN,Latin America & Caribbean,3,0.192825971,0.273909024,0.383083506,0.389247377,0.541638722,0.262477223,0.348550969,0.159830164,0.318945369
2015,VNM,East Asia & Pacific,2,0.415813901,0.458072788,0.430947542,0.517749845,0.792815972,0.408207136,0.457631813,0.497009428,0.497281053
2015,ZMB,Sub-Saharan Africa,2,0.490276017,0.401952578,0.478693879,0.417087996,0.700136455,0.454353543,0.470202985,0.37703609,0.473717443
2015,ZWE,Sub-Saharan Africa,1,0.261914584,0.279424022,0.318024698,0.291221578,0.626621818,0.350858041,0.45191937,0.361289598,0.367659214
2016,AFG,South Asia,1,0.427644658,0.231102061,0.395363215,0.396659617,0.339427288,0.35690985,0.34067497,0.275992907,0.345471821
2016,ALB,Eastern Europe & Central Asia,3,0.526263412,0.325252652,0.449553002,0.602088266,0.750028697,0.436902669,0.480297501,0.458326259,0.503589057
2016,ATG,Latin America & Caribbean,4,0.638245452,0.658568014,0.510544938,0.741682396,0.816170655,0.538331862,0.718206207,0.70292506,0.665584323
2016,ARG,Latin America & Caribbean,3,0.585326686,0.50537305,0.56722029,0.694045511,0.617112648,0.473457306,0.567443528,0.425560255,0.554442409
2016,AUS,East Asia & Pacific,4,0.833708206,0.825924402,0.780729262,0.805174469,0.871291341,0.823055212,0.766777436,0.751814726,0.807309382
2016,AUT,EU + EFTA + North America,4,0.858450976,0.840322345,0.754054328,0.879971219,0.902504648,0.802134872,0.80275848,0.83315087,0.834168467
2016,BHS,Latin America & Caribbean,4,0.603750928,0.644427609,0.452503272,0.666433003,0.72322923,0.472787932,0.619588303,0.675461879,0.60727277
2016,BGD,South Asia,2,0.425869453,0.341892259,0.449141548,0.335632087,0.583714723,0.404060594,0.393048297,0.331334567,0.408086691
2016,BRB,Latin America & Caribbean,4,0.657599346,0.70006599,0.521643526,0.794333596,0.77783216,0.614726077,0.677794712,0.607991578,0.668998373
2016,BLR,Eastern Europe & Central Asia,3,0.364893282,0.515876097,0.432223121,0.484416034,0.812819029,0.531712423,0.647562856,0.508748236,0.537281385
2016,BEL,EU + EFTA + North America,4,0.827524329,0.780671104,0.731506719,0.841937777,0.843722784,0.770323923,0.761364443,0.755747522,0.789099825
2016,BLZ,Latin America & Caribbean,3,0.448766505,0.47831055,0.445342069,0.505218789,0.697141486,0.433632149,0.469724086,0.320651918,0.474848444
2016,BOL,Latin America & Caribbean,2,0.392854033,0.289975853,0.442656011,0.50227183,0.57829079,0.429819116,0.346488457,0.243149706,0.403188225
2016,BIH,Eastern Europe & Central Asia,3,0.569264516,0.42631604,0.538371765,0.65064386,0.701653223,0.500926097,0.50002772,0.561023633,0.556028357
2016,BWA,Sub-Saharan Africa,3,0.552044755,0.6179716,0.490975155,0.506302298,0.708624999,0.590289548,0.620393777,0.517751949,0.57554426
2016,BRA,Latin America & Caribbean,3,0.605909754,0.454679661,0.624906285,0.612803306,0.6698138,0.54315875,0.528276257,0.391091332,0.553829893
